dt,sigma,replicate,split,model,unit,metric,value
0.025,0,0,test,cubic,traj_021,oracle_rollout_rmse,0.00186469225454
0.025,0,0,test,cubic,traj_021,observed_rollout_rmse,0.00158804129499
0.025,0,0,test,cubic,traj_021,oracle_radial_rmse,0.000364168164251
0.025,0,0,test,cubic,traj_021,observed_radial_rmse,0.000408399719901
0.025,0,0,test,cubic,traj_021,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_021,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_021,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_021,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_021,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_021,rollout_failure,0
0.025,0,0,test,cubic,traj_022,one_step_rmse,1.83061427395e-05
0.025,0,0,test,cubic,traj_022,oracle_rollout_rmse,0.000708529153698
0.025,0,0,test,cubic,traj_022,observed_rollout_rmse,0.00188882294309
0.025,0,0,test,cubic,traj_022,oracle_radial_rmse,0.000192557517688
0.025,0,0,test,cubic,traj_022,observed_radial_rmse,0.000207671256079
0.025,0,0,test,cubic,traj_022,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_022,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_022,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_022,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_022,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_022,rollout_failure,0
0.025,0,0,test,cubic,traj_023,one_step_rmse,1.141360271e-05
0.025,0,0,test,cubic,traj_023,oracle_rollout_rmse,0.00031275607605
0.025,0,0,test,cubic,traj_023,observed_rollout_rmse,0.000559303736397
0.025,0,0,test,cubic,traj_023,oracle_radial_rmse,0.000184988996219
0.025,0,0,test,cubic,traj_023,observed_radial_rmse,0.000185742221881
0.025,0,0,test,cubic,traj_023,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_023,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_023,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_023,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_023,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_023,rollout_failure,0
0.025,0,0,test,cubic,traj_024,one_step_rmse,1.98999558909e-05
0.025,0,0,test,cubic,traj_024,oracle_rollout_rmse,0.00147912571732
0.025,0,0,test,cubic,traj_024,observed_rollout_rmse,0.00118293166512
0.025,0,0,test,cubic,traj_024,oracle_radial_rmse,0.000359680307732
0.025,0,0,test,cubic,traj_024,observed_radial_rmse,0.000404929493299
0.025,0,0,test,cubic,traj_024,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_024,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_024,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_024,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_024,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_024,rollout_failure,0
0.025,0,0,test,cubic,traj_025,one_step_rmse,1.45372419321e-05
0.025,0,0,test,cubic,traj_025,oracle_rollout_rmse,0.000382392827882
0.025,0,0,test,cubic,traj_025,observed_rollout_rmse,0.00110716699674
0.025,0,0,test,cubic,traj_025,oracle_radial_rmse,0.000192568631447
0.025,0,0,test,cubic,traj_025,observed_radial_rmse,0.000191475463345
0.025,0,0,test,cubic,traj_025,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_025,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_025,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_025,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_025,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_025,rollout_failure,0
0.025,0,0,test,cubic,traj_026,one_step_rmse,1.47371367037e-05
0.025,0,0,test,cubic,traj_026,oracle_rollout_rmse,0.000526178828215
0.025,0,0,test,cubic,traj_026,observed_rollout_rmse,0.00144470527687
0.025,0,0,test,cubic,traj_026,oracle_radial_rmse,0.000187941462167
0.025,0,0,test,cubic,traj_026,observed_radial_rmse,0.000193614024267
0.025,0,0,test,cubic,traj_026,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_026,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_026,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_026,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_026,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_026,rollout_failure,0
0.025,0,0,test,cubic,traj_027,one_step_rmse,1.97375863335e-05
0.025,0,0,test,cubic,traj_027,oracle_rollout_rmse,0.00132065077662
0.025,0,0,test,cubic,traj_027,observed_rollout_rmse,0.00114341332462
0.025,0,0,test,cubic,traj_027,oracle_radial_rmse,0.000324148005192
0.025,0,0,test,cubic,traj_027,observed_radial_rmse,0.000371481651461
0.025,0,0,test,cubic,traj_027,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_027,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_027,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_027,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_027,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_027,rollout_failure,0
0.025,0,0,test,cubic,traj_028,one_step_rmse,1.55459482992e-05
0.025,0,0,test,cubic,traj_028,oracle_rollout_rmse,0.00114007877298
0.025,0,0,test,cubic,traj_028,observed_rollout_rmse,0.000966967606766
0.025,0,0,test,cubic,traj_028,oracle_radial_rmse,0.000268011485234
0.025,0,0,test,cubic,traj_028,observed_radial_rmse,0.000309535885057
0.025,0,0,test,cubic,traj_028,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_028,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_028,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_028,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_028,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_028,rollout_failure,0
0.025,0,0,test,cubic,traj_029,one_step_rmse,1.18785045462e-05
0.025,0,0,test,cubic,traj_029,oracle_rollout_rmse,0.000302284937744
0.025,0,0,test,cubic,traj_029,observed_rollout_rmse,0.000646408797978
0.025,0,0,test,cubic,traj_029,oracle_radial_rmse,0.000186554641243
0.025,0,0,test,cubic,traj_029,observed_radial_rmse,0.000186126716396
0.025,0,0,test,cubic,traj_029,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_029,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_029,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_029,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_029,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_029,rollout_failure,0
0.025,0,0,test,cubic,traj_030,one_step_rmse,1.77329698778e-05
0.025,0,0,test,cubic,traj_030,oracle_rollout_rmse,0.00134376481725
0.025,0,0,test,cubic,traj_030,observed_rollout_rmse,0.00117893814419
0.025,0,0,test,cubic,traj_030,oracle_radial_rmse,0.000289271346934
0.025,0,0,test,cubic,traj_030,observed_radial_rmse,0.000330992257327
0.025,0,0,test,cubic,traj_030,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_030,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_030,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_030,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_030,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_030,rollout_failure,0
0.025,0,0,test,cubic,traj_031,one_step_rmse,2.44990208107e-05
0.025,0,0,test,cubic,traj_031,oracle_rollout_rmse,0.00244700749979
0.025,0,0,test,cubic,traj_031,observed_rollout_rmse,0.00201414053374
0.025,0,0,test,cubic,traj_031,oracle_radial_rmse,0.000551081562982
0.025,0,0,test,cubic,traj_031,observed_radial_rmse,0.000575891190703
0.025,0,0,test,cubic,traj_031,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_031,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_031,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_031,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_031,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_031,rollout_failure,0
0.025,0,0,test,cubic,traj_032,one_step_rmse,1.17097179879e-05
0.025,0,0,test,cubic,traj_032,oracle_rollout_rmse,0.000260975331745
