split,condition,parameter_source,method,inference_target,region,metric,value
stress,near_unit_root,known_stress,kalman_filter,numerical_stress,all,tight_vs_stationary_first_20_variance_max_abs,0.24167858845970419
stress,near_unit_root,known_stress_stationary_prior,open_loop,predictive_variance,horizon_1,open_loop_predictive_variance,1.0050251256281393
stress,near_unit_root,known_stress_stationary_prior,open_loop,predictive_variance,horizon_10,open_loop_predictive_variance,1.0050251256281393
stress,near_unit_root,known_stress_stationary_prior,open_loop,predictive_variance,horizon_50,open_loop_predictive_variance,1.0050251256281393
stress,near_unit_root,known_stress_stationary_prior,open_loop,predictive_variance,horizon_100,open_loop_predictive_variance,1.0050251256281393
stress,near_unit_root,known_stress_stationary_prior,open_loop,predictive_variance,horizon_200,open_loop_predictive_variance,1.0050251256281393
stress,near_unit_root,known_stress_tight_prior,open_loop,predictive_variance,horizon_1,open_loop_predictive_variance,0.069004999999999997
stress,near_unit_root,known_stress_tight_prior,open_loop,predictive_variance,horizon_10,open_loop_predictive_variance,0.22390344979721741
stress,near_unit_root,known_stress_tight_prior,open_loop,predictive_variance,horizon_50,open_loop_predictive_variance,0.65545504291971213
stress,near_unit_root,known_stress_tight_prior,open_loop,predictive_variance,horizon_100,open_loop_predictive_variance,0.87707116981529787
stress,near_unit_root,known_stress_tight_prior,open_loop,predictive_variance,horizon_200,open_loop_predictive_variance,0.98788189623154554
test,informative_missingness,known_true_unmodeled_mask,kalman_filter,diagnostic_only,all,missing_fraction,0.28437499999999999
test,informative_missingness,known_true_unmodeled_mask,kalman_filter,diagnostic_only,all,mean_abs_latent_when_missing,0.7177937414921971
test,informative_missingness,known_true_unmodeled_mask,kalman_filter,diagnostic_only,all,mean_abs_latent_when_observed,0.40602685596073984
test,informative_missingness,known_true_unmodeled_mask,kalman_filter,diagnostic_only,all,skipped_update_filter_rmse,0.53414883361000387
test,learned_vs_known_gap,selected_train_validation_minus_known,comparison,mixed,all,filter_latent_rmse,0
test,learned_vs_known_gap,selected_train_validation_minus_known,comparison,mixed,all,smoother_latent_rmse,0
test,learned_vs_known_gap,selected_train_validation_minus_known,comparison,mixed,all,filter_interval_95_coverage,0
test,learned_vs_known_gap,selected_train_validation_minus_known,comparison,mixed,all,smoother_interval_95_coverage,0
test,learned_vs_known_gap,selected_train_validation_minus_known,comparison,mixed,all,predictive_nll,0
